FID;Object_ID;Latitude;Longitude;Site_Name;Data_Numbe;Codes;Elevation;minD;maxD;No__Temps;Gradient;No__Cond_;Conductivi;No_Heat_Pr;Heat_Prod_;Heat_Flow;No__sites;Year_of_Pu;Reference;Comments;F21;F22;F23;F24;F25;F26;ben;europe
0;826.000000000000000;6.616700000000000;-88.408299999999997;V18-140;917.000000000000000; ;-3247.000000000000000;4.000000000000000;12.000000000000000;2;191.000000000000000;0.000000000000000;0.670000000000000; ; ;128.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
1;827.000000000000000;6.725000000000000;-86.500000000000000;V18-141;918.000000000000000; ;-2892.000000000000000;10.000000000000000;17.000000000000000;2;56.000000000000000;4.000000000000000;0.760000000000000; ; ;43.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
2;828.000000000000000;6.066700000000000;-85.716700000000003;V18-142;919.000000000000000; ;-1819.000000000000000;4.000000000000000;12.000000000000000;3;153.000000000000000;0.000000000000000;0.820000000000000; ; ;126.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
3;829.000000000000000;5.691700000000000;-85.266700000000000;V18-143;920.000000000000000; ;-1840.000000000000000;4.000000000000000;12.000000000000000;3;141.000000000000000;0.000000000000000;0.900000000000000; ; ;127.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
4;830.000000000000000;5.300000000000000;-84.750000000000000;V18-144;921.000000000000000; ;-3005.000000000000000;7.000000000000000;16.000000000000000;3;140.000000000000000;0.000000000000000;0.740000000000000; ; ;105.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
5;831.000000000000000;5.558300000000000;-83.408299999999997;V18-145;922.000000000000000; ;-3064.000000000000000;8.000000000000000;12.000000000000000;2;195.000000000000000;0.000000000000000;0.740000000000000; ; ;144.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
6;832.000000000000000;6.100000000000000;-82.083299999999994;V18-146;923.000000000000000; ;-3031.000000000000000;9.000000000000000;17.000000000000000;2;191.000000000000000;0.000000000000000;0.750000000000000; ; ;144.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
7;833.000000000000000;6.700000000000000;-80.700000000000003;V18-148;924.000000000000000; ;-3424.000000000000000;2.000000000000000;12.000000000000000;3;170.000000000000000;0.000000000000000;0.750000000000000; ; ;128.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
8;834.000000000000000;7.066700000000000;-78.983300000000000;V19-8;925.000000000000000; ;-3345.000000000000000;6.000000000000000;12.000000000000000;2;163.000000000000000;8.000000000000000;0.710000000000000; ; ;115.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
9;835.000000000000000;4.933300000000000;-78.266700000000000;V19-9;926.000000000000000; ;-3819.000000000000000;3.000000000000000;13.000000000000000;2;283.000000000000000;5.000000000000000;0.900000000000000; ; ;256.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
10;836.000000000000000;3.200000000000000;-80.133300000000006;V19-10;927.000000000000000; ;-1711.000000000000000;3.000000000000000;10.000000000000000;3;91.000000000000000;5.000000000000000;0.870000000000000; ; ;79.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
11;837.000000000000000;2.466700000000000;-81.700000000000003;V19-11;928.000000000000000; ;-2398.000000000000000;5.000000000000000;12.000000000000000;2;112.000000000000000;7.000000000000000;0.750000000000000; ; ;84.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
12;838.000000000000000;-2.366700000000000;-84.650000000000006;V19-14;929.000000000000000; ;-2724.000000000000000;1.000000000000000;15.000000000000000;3;7.000000000000000;6.000000000000000;0.740000000000000; ; ;5.000000000000000;1.000000000000000;1965;Langseth_etal1965;Langseth_etal1965; ; ; ; ; ; ;0;0
13;1410.000000000000000;7.766700000000000;-82.700000000000003;PAPAG-1;1583.000000000000000; ;-1838.000000000000000;0.000000000000000;2.000000000000000; ;91.000000000000000;0.000000000000000;0.750000000000000; ; ;67.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
14;1412.000000000000000;7.100000000000000;-82.533299999999997;PAPAG-2;1584.000000000000000; ;-3425.000000000000000;0.000000000000000;2.000000000000000; ;217.000000000000000;0.000000000000000;0.750000000000000; ; ;163.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
15;1413.000000000000000;7.200000000000000;-82.016700000000000;PAPAG-3;1585.000000000000000; ;-2076.000000000000000;0.000000000000000;2.000000000000000; ;126.000000000000000;0.000000000000000;0.750000000000000; ; ;96.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
16;1414.000000000000000;5.300000000000000;-81.900000000000006;PAPAG-4;1586.000000000000000; ;-3894.000000000000000;0.000000000000000;2.000000000000000; ;220.000000000000000;0.000000000000000;0.750000000000000; ; ;165.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
17;1415.000000000000000;4.466700000000000;-81.599999999999994;PAPAG-5;1587.000000000000000; ;-3380.000000000000000;0.000000000000000;2.000000000000000; ;196.000000000000000;0.000000000000000;0.750000000000000; ; ;147.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
18;1416.000000000000000;5.633300000000000;-82.849999999999994;PAPAG-6;1588.000000000000000; ;-3380.000000000000000;0.000000000000000;2.000000000000000; ;218.000000000000000;0.000000000000000;0.750000000000000; ; ;163.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
19;1418.000000000000000;6.850000000000000;-83.283299999999997;PAPAG-7;1589.000000000000000; ;-2241.000000000000000;0.000000000000000;2.000000000000000; ;230.000000000000000;0.000000000000000;0.750000000000000; ; ;172.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
20;1419.000000000000000;7.850000000000000;-85.183300000000003;PAPAG-8;1590.000000000000000; ;-2505.000000000000000;0.000000000000000;2.000000000000000; ;5.000000000000000;0.000000000000000;0.750000000000000; ; ;4.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
21;1426.000000000000000;7.700000000000000;-85.716700000000003;PAPAG-15;1597.000000000000000; ;-2987.000000000000000;0.000000000000000;2.000000000000000; ;140.000000000000000;0.000000000000000;0.750000000000000; ; ;105.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
22;1435.000000000000000;7.916700000000000;-89.333299999999994;PAPAG-24;1606.000000000000000; ;-3851.000000000000000;0.000000000000000;2.000000000000000; ;62.000000000000000;0.000000000000000;0.750000000000000; ; ;46.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
23;1436.000000000000000;6.983300000000000;-90.966700000000003;PAPAG-25;1607.000000000000000; ;-3955.000000000000000;0.000000000000000;2.000000000000000; ;92.000000000000000;0.000000000000000;0.780000000000000; ; ;71.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
24;1494.000000000000000;5.900000000000000;-79.883300000000006;TW65-1-1;1663.000000000000000; ;-3075.000000000000000;0.000000000000000;2.000000000000000; ;208.000000000000000;0.000000000000000;0.750000000000000; ; ;155.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
25;1495.000000000000000;5.883300000000000;-79.883300000000006;TW65-1-A;1664.000000000000000; ;-3214.000000000000000;0.000000000000000;2.000000000000000; ;196.000000000000000;0.000000000000000;0.750000000000000; ; ;147.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
26;1497.000000000000000;0.666700000000000;-84.599999999999994;TRIPOD-1;1667.000000000000000; ;-3003.000000000000000;0.000000000000000;2.000000000000000; ;175.000000000000000;0.000000000000000;0.840000000000000; ; ;147.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
27;1498.000000000000000;-1.633300000000000;-84.916700000000006;TRIPOD-2;1668.000000000000000; ;-2214.000000000000000;0.000000000000000;2.000000000000000; ;162.000000000000000;0.000000000000000;0.840000000000000; ; ;134.000000000000000;1.000000000000000;1967;Vacquier_etal1967;Vacquier_etal1967; ; ; ; ; ; ;0;0
